full_name,scope,language,stars,created,last_push,commits_by_keceli_public,description,url
AI4EnergyJustice/Tutorials,org,Jupyter Notebook,2,2023-07-18,2023-08-08,21,Tutorials for AI for Energy Justice project.,https://github.com/AI4EnergyJustice/Tutorials
AI4Materials/2DM-GAP,org,,5,2023-01-18,2023-10-30,8,Machine learning potentials for Two-Dimensional Materials,https://github.com/AI4Materials/2DM-GAP
Auto-Mech/MESS,org,C++,28,2019-12-18,2026-02-04,16,"Master Equation system solver for determining (P,T)-dependent phenomenological rate constants",https://github.com/Auto-Mech/MESS
Auto-Mech/mechdriver,org,Python,4,2019-12-18,2026-04-09,2,Automated workflow routines for calculating theoretical data for reaction mechanisms,https://github.com/Auto-Mech/mechdriver
Autonomous-Scientific-Agents/AI-tools-for-science,org,TypeScript,0,2026-08-14,2026-08-14,7,AI tools for science,https://github.com/Autonomous-Scientific-Agents/AI-tools-for-science
Autonomous-Scientific-Agents/HashMol3D,org,Python,1,2026-06-30,2026-09-10,34,,https://github.com/Autonomous-Scientific-Agents/HashMol3D
Autonomous-Scientific-Agents/IQC,org,Python,6,2024-12-15,2026-09-10,242,Interactive Quantum Chemistry,https://github.com/Autonomous-Scientific-Agents/IQC
Autonomous-Scientific-Agents/IQC-Dashboard,org,Jupyter Notebook,1,2025-12-04,2026-09-05,67,IQC Dashboard provides nice interactive visualization of the final results from IQC,https://github.com/Autonomous-Scientific-Agents/IQC-Dashboard
Autonomous-Scientific-Agents/Paper2Code,org,Python,6,2024-09-22,2025-02-09,,Paper2Code is an open-source software project that implements a CrewAI system capable of generating code based on computational science academic papers.,https://github.com/Autonomous-Scientific-Agents/Paper2Code
Autonomous-Scientific-Agents/PubChemAgent,org,Python,1,2025-07-11,2025-07-11,3,PubChemAgent provides a natural language interface for the PubChem database,https://github.com/Autonomous-Scientific-Agents/PubChemAgent
Autonomous-Scientific-Agents/chemgraph-leaderboard,org,Python,3,2026-04-13,2026-08-21,,,https://github.com/Autonomous-Scientific-Agents/chemgraph-leaderboard
NWChemEx-Project/DeveloperTools,org,CMake,0,2017-10-03,2023-09-28,7,Documentation and tools for NWChemEx developers,https://github.com/NWChemEx-Project/DeveloperTools
NWChemEx/.github,org,Dockerfile,1,2022-02-21,2026-08-12,6,GitHub Settings for the NWChemEx Organization,https://github.com/NWChemEx/.github
NWChemEx/ChemCache,org,C++,2,2020-09-22,2026-08-07,3,"Basis sets, physical constants, geometries, basically any data you can just look up.",https://github.com/NWChemEx/ChemCache
NWChemEx/Chemist,org,C++,6,2017-09-29,2026-09-03,72,Library for describing chemical systems,https://github.com/NWChemEx/Chemist
NWChemEx/Integrals,org,C++,0,2017-12-05,2026-08-24,2,,https://github.com/NWChemEx/Integrals
NWChemEx/NWChemEx,org,Python,16,2018-01-25,2026-08-11,11,"A top-level, user-focused, conglomerate repo for the NWChemEx project.",https://github.com/NWChemEx/NWChemEx
NWChemEx/NWXCMake,org,CMake,0,2023-01-04,2026-09-04,18,CMake modules and toolchains for NWChemEx,https://github.com/NWChemEx/NWXCMake
NWChemEx/ParallelZone,org,C++,0,2021-06-08,2026-08-05,37,"You're travelling through another dimension, a dimension not only of CPUs and threads but of GPUs; a journey into a wondrous land whose boundaries are bandwidth limited. That's the signpost up ahead - your next stop, the ParallelZone!",https://github.com/NWChemEx/ParallelZone
NWChemEx/PluginPlay,org,C++,13,2017-11-13,2026-08-06,33,An inversion-of-control framework for developing modular scientific software.,https://github.com/NWChemEx/PluginPlay
NWChemEx/SimDE,org,C++,0,2019-03-14,2026-09-08,30,Software development kit for the NWChemEx Community.,https://github.com/NWChemEx/SimDE
NWChemEx/TensorWrapper,org,C++,0,2022-01-18,2026-09-03,14,A type-erased wrapper around various tensor backends,https://github.com/NWChemEx/TensorWrapper
NWChemEx/Utilities,org,C++,0,2017-10-06,2026-08-05,8,"Generic, helpful C++ classes",https://github.com/NWChemEx/Utilities
PACChem/QTC,org,Python,7,2018-07-23,2020-09-30,334,Quantum Thermochemistry Calculator,https://github.com/PACChem/QTC
PACChem/RCDriver,org,Python,2,2018-10-22,2019-01-03,1,,https://github.com/PACChem/RCDriver
